,index,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,City_Name,Rating,Reviews,Location,AC_Availability,Wifi_Availability
254,29,SPOT ON 39787 Radha Krishna Deluxe Lodge,"Near Cottonpet Main Road, Bangalore",1234.0,2351.0,47.0, Elevator  Window  Daily Housekeeping  + 5 more,Bangalore,3.6,Good,Near Cottonpet Main Road,No,No
255,62,OYO 5661 Hotel AK Palace,"On main street, Near Asalpha Metro Station, Sainaka, Mumbai",1014.0,2340.0,56.0, Free Wifi  Geyser  CCTV Cameras  + 5 more,Mumbai,3.6,Good, Sainaka,No,Yes
256,330,OYO 18626 Diamond Paradise,"Near Taj Yeshwantpur, M S K Nagar, Bangalore",1288.0,3632.0,64.0, Free Wifi  Power backup  CCTV Cameras  + 8 more,Bangalore,3.6,Good, M S K Nagar,No,Yes
257,512,OYO 13043 Pavithra Regency,"Near SBI Bank, RT Nagar Main Road, Bangalore",1014.0,2621.0,61.0, Hair Dryer  Free Wifi  Card Payment  + 11 more,Bangalore,3.6,Good, RT Nagar Main Road,No,Yes
258,463,OYO 71469 Limestone Pearl,"Somajiguda, Hyderabad",1391.0,3178.0,56.0, Parking Facility  Reception  Free Wifi  + 8 more,Hyderabad,3.6,Good,Somajiguda,No,Yes
259,311,OYO 47134 Hotel Stay Inn Palace,"Near Tolani College, Madhukunj Society, Mumbai",1280.0,2486.0,48.0, Free Wifi  Geyser  CCTV Cameras  + 9 more,Mumbai,3.6,Good, Madhukunj Society,No,Yes
260,41,SPOT ON 47118 Pummy Lodge,"Centrally Located, Near Panjagutta Police Station,Panjagutta, Hyderabad",708.0,1953.0,63.0, AC  TV  Power backup  + 5 more,Hyderabad,3.6,Good,Panjagutta,Yes,No
261,321,"Collection O 80882 Fortune INN, Manyata Tech Park","Nagavara, Bangalore",1216.0,2315.0,47.0, Wakeup Service  Free Wifi  Power backup  + 6 more,Bangalore,3.6,Good,Nagavara,No,Yes
262,285,OYO 13746 Mint Leaves,"Annapurna Studios, Jubilee Hills, Hyderabad",1535.0,2924.0,47.0, Parking Facility  Free Wifi  Power backup  + 10 more,Hyderabad,3.6,Good, Jubilee Hills,No,Yes
263,458,OYO 9605 Hotel Golden Inn,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore",1233.0,2443.0,49.0, Elevator  Free Wifi  Geyser  + 5 more,Bangalore,3.6,Good, Shivaji Nagar,No,Yes
264,497,OYO 17327 The Rove,"Near Bus tsop, Gururaja Layout, Bangalore",1366.0,2601.0,47.0, Parking Facility  Reception  Free Wifi  + 9 more,Bangalore,3.6,Good, Gururaja Layout,No,Yes
265,347,OYO 46806 Sg Comforts,"Near Medwin Hospital, Abid, Hyderabad",1243.0,2710.0,54.0, Reception  Free Wifi  24/7 Checkin  + 14 more,Hyderabad,3.6,Good, Abid,No,Yes
266,353,OYO HYD1516 Hotel Aroma Classic,"Ghosha Mahal, Hyderabad",1006.0,1917.0,47.0, Elevator  Reception  Wakeup Service  + 9 more,Hyderabad,3.6,Good,Ghosha Mahal,No,No
267,48,SPOT ON 75815 Hotel Kanha Residency,"India, Hyderabad",892.0,1787.0,50.0, TV ,Hyderabad,3.6,Good,India,No,No
268,388,Capital O 5381 The Emirates Hotel,"Near Total Mall, Madiwalla, Bangalore",1355.0,2581.0,47.0, Parking Facility  Free Wifi  Power backup  + 18 more,Bangalore,3.6,Good, Madiwalla,No,Yes
269,60,OYO 5665 Rana Residency,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",1218.0,3225.0,62.0, Parking Facility  Electric Kettle  Free Wifi  + 8 more,Mumbai,3.5,Good, Sher-e-Punjab Colony,No,Yes
270,367,OYO 789 Hotel Airport Annex,"Near Twin Arcade, Andheri East, Mumbai",1410.0,4130.0,65.0, Parking Facility  Free Wifi  Card Payment  + 12 more,Mumbai,3.5,Good, Andheri East,No,Yes
