,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
344,Capital O 35958 Hotel Lake View,"Near Snow world, Lower Tank Bund, Hyderabad",₹2707,₹5157,47% off, AC  AC  TV  + 3 more,,Hyderabad
345,Collection O 42514 Banjara Hills,"Near Aasha hospital, Venkat Nagar, Hyderabad",₹2115,₹4028,47% off, Parking Facility  Reception  Free Wifi  + 14 more,4.3 (2274 Ratings)·Very Good,Hyderabad
346,SPOT ON 75390 Bhavani Rest Rooms ,"India, Hyderabad",₹1014,₹1998,49% off, Reception  Ticket Tour Assistance  Queen Sized Bed  + 6 more,4.1 (514 Ratings)·Very Good,Hyderabad
347,OYO 46806 Sg Comforts,"Near Medwin Hospital, Abid, Hyderabad",₹1243,₹2710,54% off, Reception  Free Wifi  24/7 Checkin  + 14 more,3.6 (1332 Ratings)·Good,Hyderabad
348,OYO 14669 Mayur's Residency,"Near Sri Krupa Market, Malakpet, Hyderabad",₹1397,₹3298,57% off, AC  AC  TV  + 4 more,4.2 (754 Ratings)·Very Good,Hyderabad
349,OYO 45408 Hotel Ambassador,"Near Navodaya Hospital, SD Road, Hyderabad",₹1501,₹2859,47% off, Reception  Power backup  Refrigerator  + 44 more,4.0 (614 Ratings)·Very Good,Hyderabad
350,OYO 4025 Hotel Meredian Orchid,"Near Mehdni function hall, Lakdi Ka pul, Hyderabad",₹1618,₹3274,50% off, AC  TV ,,Hyderabad
351,Collection O 80456 Vanasthalipuram,"LB Nagar, Hyderabad",₹1432,₹2728,47% off, Elevator  Free Wifi  CCTV Cameras  + 5 more,4.4 (86 Ratings)·Very Good,Hyderabad
352,OYO HYD1589 Hotel Dhana Residency,"India, Hyderabad",₹1216,₹2315,47% off, TV  AC  Reception  + 10 more,,Hyderabad
353,OYO HYD1516 Hotel Aroma Classic,"Ghosha Mahal, Hyderabad",₹1006,₹1917,47% off, Elevator  Reception  Wakeup Service  + 9 more,3.6 (564 Ratings)·Good,Hyderabad
354,SPOT ON 80753 Sri Sai Amaravathi Lodge,"Opposite to metro pillar number A1115, near NIMS, Punjagutta, Hyderabad",₹944,₹1798,47% off, Reception  Ticket Tour Assistance  Daily Housekeeping  + 4 more,,Hyderabad
355,OYO 81907 Hotel Fortune Residency,"India, Hyderabad",₹1603,₹3052,47% off, Reception  AC  Geyser  + 10 more,,Hyderabad
356,OYO 10225 Hotel Sree Chandana,"Laxmi Nagar Colony, Kothapet, Hyderabad",₹1937,₹3759,48% off, Parking Facility  Free Wifi  Power backup  + 11 more,3.8 (380 Ratings)·Good,Hyderabad
