,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
441,Capital O 12543 3 Square,"Next to Cafe Coffee Day, HBR Layout, Bangalore",₹1377,₹2622,47% off, Elevator  Free Wifi  Geyser  + 6 more,4.6 (950 Ratings)·Excellent,Bangalore
442,Capital O 69058 Emerald Hotel,"Near Sagar Hospital, Bannerughatta, Bangalore",₹1424,₹2996,52% off, Reception  Free Wifi  Power backup  + 14 more,3.7 (1193 Ratings)·Good,Bangalore
443,OYO 73485 Krishna Comfort K,"Near Yeshwanthpur Railway Station, Bangalore",₹1216,₹2806,56% off, Free Wifi  Daily Housekeeping  CCTV Cameras  + 6 more,4.1 (517 Ratings)·Very Good,Bangalore
444,Capital O 38666 Elmas Golden Key,"Near PVR Koramangala, 7th Block, Bangalore",₹1363,₹3063,55% off, Private Entrance  Reception  Free Wifi  + 19 more,3.8 (668 Ratings)·Good,Bangalore
445,Collection O 42670 Grand Continent,"Near gopalan cinemas, J.P. Nagar, Bangalore",₹1336,₹3038,56% off, Private Entrance  Reception  Free Wifi  + 12 more,4.0 (2014 Ratings)·Very Good,Bangalore
446,Capital O 333 Hotel Crystal Homes,"Near Sony Centre, Indiranagar, Bangalore",₹1264,₹3014,58% off, Elevator  Free Wifi  Power backup  + 7 more,3.8 (906 Ratings)·Good,Bangalore
447,OYO 78266 Collection O Sathyajyothi Comforts,"Girinagar, Bangalore",₹1014,₹2286,55% off, Reception  Free Wifi  Power backup  + 12 more,4.5 (413 Ratings)·Excellent,Bangalore
448,Collection O 30067 Hotel Palmtree,"Near Halasuru Metro Station, Ulsoor, Bangalore",₹1394,₹2655,47% off, Parking Facility  Reception  Free Wifi  + 14 more,3.9 (780 Ratings)·Good,Bangalore
449,OYO 49249 Pavithraa Deluxe Suites,"Near Orion mall, Yeswanthpur, Bangalore",₹1429,₹3022,52% off, Free Wifi  Power backup  Security  + 11 more,4.0 (160 Ratings)·Very Good,Bangalore
450,Capital O 49646 Hotel Champion Paradise,"Near V.E.T School, J.P. Nagar, Bangalore",₹1331,₹2674,50% off, Parking Facility  Reception  Free Wifi  + 16 more,4.3 (1051 Ratings)·Very Good,Bangalore
451,SPOT ON 71449 Ssr Lodging And Boarding,"Near Jumma masjid, Shivaji Nagar, Bangalore",₹1014,₹1931,47% off, Reception  Free Wifi  Power backup  + 7 more,3.8 (274 Ratings)·Good,Bangalore
452,OYO 15358 Hotel Townhall,"Near Dhanlakshmi Bank, JC Road, Bangalore",₹1014,₹2293,55% off, Elevator  Parking Facility  Free Wifi  + 7 more,,Bangalore
453,OYO 13595 VT Residency,"Near Urvashi Theatre, Sudhama Nagar, Bangalore",₹1663,₹3514,52% off, Free Wifi  Power backup  Card Payment  + 13 more,3.5 (178 Ratings)·Good,Bangalore
454,SPOT ON 78462 A Class Suites ,"India, Bangalore",₹1014,₹1931,47% off, TV  Reception  Wakeup Service  + 6 more,4.0 (37 Ratings)·Very Good,Bangalore
455,OYO 4691 Sai Comforts,"Mathikere, Bangalore",₹1386,₹3410,59% off, Elevator  Free Wifi  Geyser  + 8 more,4.6 (424 Ratings)·Excellent,Bangalore
456,Collection O S-Comfort,"Kumaraswamy layout, Bangalore",₹1619,₹3084,47% off, Private Entrance  Reception  Free Wifi  + 21 more,3.9 (91 Ratings)·Good,Bangalore
457,Capital O 5683 SS Suites,"Near Big Bazar, Bannerghatta Road, Bangalore",₹1654,₹3149,47% off,,4.3 (662 Ratings)·Very Good,Bangalore
458,OYO 9605 Hotel Golden Inn,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore",₹1233,₹2443,49% off, Elevator  Free Wifi  Geyser  + 5 more,3.6 (664 Ratings)·Good,Bangalore
459,OYO 79879 Elite Stays JP Nagar,"Bommanahalli Zone, Bangalore",₹903,₹1719,47% off, Parking Facility  Elevator  Private Entrance  + 7 more,4.3 (292 Ratings)·Very Good,Bangalore
460,OYO 30665  Sruan Inn,"Near LB Nagar Metro Station, Abhyudaya Nagar, Hyderabad",₹1690,₹3219,47% off, Parking Facility  Reception  Free Wifi  + 14 more,,Hyderabad
461,OYO 75379 Raja Ram Hotel,"Near Bozai functional hall, Balanagar, Hyderabad",₹1654,₹4015,58% off, Reception  Free Wifi  Power backup  + 14 more,3.5 (1031 Ratings)·Good,Hyderabad
462,OYO 11428 Hotel Krishna's Residency,"Near Metro Station, Lakdikapool, Hyderabad",₹1537,₹3102,50% off, Parking Facility  Elevator  Free Wifi  + 6 more,3.9 (156 Ratings)·Good,Hyderabad
463,OYO 71469 Limestone Pearl,"Somajiguda, Hyderabad",₹1391,₹3178,56% off, Parking Facility  Reception  Free Wifi  + 8 more,3.6 (31 Ratings)·Good,Hyderabad
464,Capital O 78550 Star Inn by Hillside,"Near Apollo Hospital,Film Nagar,Hyderabad",₹2290,₹4362,47% off, Doctor on Call  Reception  Daily Housekeeping  + 9 more,3.5 (79 Ratings)·Good,Hyderabad
465,Capital O 44354 Jubilee Banjara Suites,"Near American Hospital, Banjarahills, Hyderabad",₹1765,₹3361,47% off, AC  AC  TV  + 2 more,4.2 (1153 Ratings)·Very Good,Hyderabad
466,OYO 14194 Hotel Deccan Lodging and Boarding,"Near Gokul Theater, Erragadda, Hyderabad",₹1404,₹2800,49% off, Free Wifi  Power backup  TV  + 14 more,3.8 (818 Ratings)·Good,Hyderabad
467,OYO 80211 Collection O Sri Navya Grand,"New nallakunta, Hyderabad",₹1693,₹3225,47% off, Elevator  Reception  Free Wifi  + 8 more,4.2 (61 Ratings)·Very Good,Hyderabad
468,OYO 76860 Hotel Sai Residency,"India, Hyderabad",₹1490,₹2838,47% off, Doctor on Call  Reception  Ticket Tour Assistance  + 17 more,,Hyderabad
469,SPOT ON 49255 Hotel New Simran Palace,"Near Paradise Circle, Hyderabad",₹1014,₹1931,47% off, TV  Reception  Queen Sized Bed  + 8 more,,Hyderabad
470,OYO 12237 Luxury Villas,"Near Motilal Nehru Nagar, Begumpet, Hyderabad",₹1752,₹3337,47% off, Parking Facility  Free Wifi  Geyser  + 7 more,,Hyderabad
471,OYO 68409 Dera Guest House,"Near LB Stadium, Fateh Maidan, Abids, Hyderabad",₹1414,₹2692,47% off, Parking Facility  Reception  Free Wifi  + 11 more,4.4 (73 Ratings)·Very Good,Hyderabad
472,OYO 600 Hotel Skyhy,"Near Old MLA Quarters, Himayathnagar, Hyderabad",₹2047,₹3961,48% off, Parking Facility  Free Wifi  Power backup  + 11 more,3.9 (581 Ratings)·Good,Hyderabad
473,SPOT ON 74966 Shree Amardeep Hotel,"Near Kims hospital, Pan Bazar, Hyderabad",₹1519,₹2892,47% off, TV  Parking Facility  AC  + 12 more,3.9 (516 Ratings)·Good,Hyderabad
474,OYO 10107 Hotel Ankitha Residency,"Near MG Road, Ranigunj, Hyderabad",₹1783,₹3395,47% off, AC  TV ,4.2 (247 Ratings)·Very Good,Hyderabad
475,OYO Flagship 60541 White Ridge,"Near Sai Sanjeevani Hospital, Huda Colony, Hyderabad",₹1843,₹3509,47% off, Private Entrance  Parking Facility  Reception  + 12 more,4.3 (3235 Ratings)·Very Good,Hyderabad
476,OYO 81896 Hotel Eashwar Residency,"India, Hyderabad",₹1519,₹2892,47% off, Power backup  Daily Housekeeping  AC  + 1 more,,Hyderabad
477,OYO 41665 Hotel Grand Marvel Residency,"Near Yashoda Hospital, Somajiguda, Hyderabad",₹1903,₹3624,47% off, Private Entrance  Reception  Daily Housekeeping  + 7 more,4.4 (1046 Ratings)·Very Good,Hyderabad
478,OYO 26883 Vasundhara Guest House,"Near Bombay Hotel, Hyderabad",₹1377,₹2622,47% off, Reception  Free Wifi  Power backup  + 13 more,4.3 (698 Ratings)·Very Good,Hyderabad
479,OYO 71611 Krupa Service Apartments ,"Near puri jagannadh temple, Bhavani Nagar, Hyderabad",₹2274,₹4331,47% off, Parking Facility  Reception  Free Wifi  + 13 more,3.6 (75 Ratings)·Good,Hyderabad
480,Capital O 77295 Hotel Bansidhar Bhuvan,"Maharashtra 400050, Mumbai",₹3995,₹7609,47% off, Reception  Free Wifi  Caretaker  + 20 more,4.2 (657 Ratings)·Very Good,Mumbai
481,Capital O 46209 Royal Palms Hotel - Daisy Collection,"Near Aarey Colony, Goregaon, Mumbai",₹3255,₹6199,47% off, Parking Facility  Free Wifi  Power backup  + 14 more,3.9 (1573 Ratings)·Good,Mumbai
482,OYO 14496 Sarah Inn,"601, 4th Floor Shabnam Building, Opp. Bajaj Auto Service, Andheri West, Mumbai",₹1013,₹2663,61% off, Elevator  Geyser  CCTV Cameras  + 8 more,,Mumbai
483,OYO 40027 Royal Palms Shared Serviced Apartment,"Near Aarey Colony, Goregaon East, Mumbai",₹3255,₹6199,47% off, Reception  Power backup  24/7 Checkin  + 34 more,4.0 (1095 Ratings)·Very Good,Mumbai
484,Capital O 29124 Royal Palms Hotel,"On main street, Near Aarey Colony, Goregaon East, Mumbai",₹3198,₹6091,47% off, Private Entrance  Parking Facility  Reception  + 20 more,3.5 (1434 Ratings)·Good,Mumbai
485,Capital O 44161 Royal Palms Hotel - Lily Collection,"Near Aarey Colony, Goregaon",₹3279,₹6245,47% off, Parking Facility  Free Wifi  Power backup  + 15 more,3.8 (1855 Ratings)·Good,Mumbai
486,OYO Flagship 75787 Meadow Inn,"Near Military Camp,Vakola, Santacruz East, Mumbai",,,, Reception  Free Wifi  Refrigerator  + 12 more,3.6 (319 Ratings)·Good,Mumbai
487,OYO 18581 Hotel Blue Inn Residence,"Kailash Industrial Complex, near Kailash Business Park, Vikhroli West Mumbai",,,, Seating Area  AC  TV  + 4 more,4.3 (2376 Ratings)·Very Good,Mumbai
488,OYO 10001 Hotel Blue Ocean,"kailash industrial complex, near kailash business park, vikhroli west, Mumbai",,,, Free Wifi  Geyser  CCTV Cameras  + 6 more,4.4 (1762 Ratings)·Very Good,Mumbai
489,OYO 70475 Hotel Sea Breeze,"Near Jankidevi School, SV Patel Nagar, Mumbai",,,, Reception  Free Wifi  CCTV Cameras  + 6 more,3.8 (101 Ratings)·Good,Mumbai
490,OYO 11720 Gold Coast Inn,"Near Jankidevi Public School Road, Varsova, Mumbai",,,, Parking Facility  Free Wifi  Geyser  + 9 more,3.6 (128 Ratings)·Good,Mumbai
491,SilverKey Executive Stays 47986 Nishita Annex,"Near Sher E Punjab Gymkhana, Mumbai",,,, Reception  Free Wifi  Refrigerator  + 15 more,3.5 (901 Ratings)·Good,Mumbai
492,OYO 10016 Hotel Golden Inn,"Opp Dewan Ceter SV road, Jogeshwari(W) Mumbai",,,, Free Wifi  Card Payment  TV  + 11 more,4.2 (393 Ratings)·Very Good,Mumbai
493,OYO 6312 Hotel Paris Residency,"Near Dadar Railway Station, D.S. Phalke Road, Mumbai",,,, Free Wifi  CCTV Cameras  AC  + 5 more,,Mumbai
494,SPOT ON 48822 Balaji Residency,"Near RTO Office, Yeshwanthpur, Bangalore",₹819,₹1559,47% off, AC  TV  Queen Sized Bed  + 6 more,,Bangalore
495,OYO 24259 Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",₹1216,₹2315,47% off, Reception  Free Wifi  Power backup  + 13 more,4.2 (619 Ratings)·Very Good,Bangalore
496,OYO 75391 Serenity Inn,"Near Kalyan Nagar, Jal Vayu Vihar, Bangalore",₹1325,₹3028,56% off, Daily Housekeeping  CCTV Cameras  Power backup  + 3 more,4.0 (86 Ratings)·Very Good,Bangalore
497,OYO 17327 The Rove,"Near Bus tsop, Gururaja Layout, Bangalore",₹1366,₹2601,47% off, Parking Facility  Reception  Free Wifi  + 9 more,3.6 (561 Ratings)·Good,Bangalore
498,OYO 78918 Leva Homes,"Mahadevapura Zone, Bangalore",₹1285,₹2448,47% off, Elevator  Private Entrance  Free Wifi  + 7 more,4.5 (376 Ratings)·Excellent,Bangalore
499,OYO Flagship 77157 Puttana Chetty Townhall,"Nagarathpete, Bangalore",₹1014,₹2310,56% off, Reception  Free Wifi  Power backup  + 11 more,,Bangalore
500,OYO 10522 Varcity Emerald,"Near KEB Colony, BTM Layout 1, Bangalore",₹1591,₹3031,47% off, Reception  Free Wifi  Power backup  + 12 more,3.7 (1028 Ratings)·Good,Bangalore
501,OYO 11916 Varcity Plaza,"Near Cross Road, Maruti Nagar, Bangalore",₹1377,₹2622,47% off, Elevator  Free Wifi  Geyser  + 5 more,3.9 (793 Ratings)·Good,Bangalore
502,Collection O 77042 Tetrad Hotel (Kanaka Grand),"Hebbal, Bangalore",₹1491,₹2839,47% off, Parking Facility  Elevator  Power backup  + 7 more,4.2 (1042 Ratings)·Very Good,Bangalore
503,OYO 378 Aira Apartments,"HAL Airport Road, Kodihalli Extension, Bangalore",₹1579,₹3007,47% off, Elevator  Parking Facility  Free Wifi  + 4 more,4.5 (11 Ratings)·Excellent,Bangalore
504,OYO 765 Hotel Sunil Residency,"West Of Chord Road, Shivanagar, Bangalore",₹2296,₹6085,62% off, AC  TV  Seating Area ,3.8 (792 Ratings)·Good,Bangalore
505,OYO 2561 Hotel Resida Service Apartments,"Near Domlur Bridge, Indiranagar, Bangalore",₹1601,₹3049,47% off, Parking Facility  Free Wifi  Power backup  + 10 more,4.6 (502 Ratings)·Excellent,Bangalore
506,SPOT ON 39359 KRISHNAA COMFORTS,"Shivaji Nagar, Bangalore",₹1014,₹1978,48% off, Reception  Queen Sized Bed  Caretaker  + 8 more,3.8 (199 Ratings)·Good,Bangalore
507,Capital O 47538 Prime Residency,"Near Perseverance HBR, Saint Thomas Town, Bangalore",₹1411,₹2687,47% off, Hair Dryer  Parking Facility  Reception  + 19 more,4.3 (1622 Ratings)·Very Good,Bangalore
508,OYO 28067 Shree Comforts,"Near RNS motors, Bannerghatta Road, Bangalore",₹1216,₹2702,55% off, Reception  Free Wifi  Power backup  + 17 more,3.9 (948 Ratings)·Good,Bangalore
509,OYO 435 Hotel Amshi International,"Near Freedom Park, Gandhi Nagar, Bangalore",₹1014,₹2508,59% off, Elevator  Free Wifi  Geyser  + 9 more,3.8 (69 Ratings)·Good,Bangalore
510,SPOT ON 75492 The Royal Comfort,"Near Priyadarshini Restaurant, Yeswanthpur, Bangalore",₹1406,₹2678,47% off, TV  AC  AC  + 1 more,4.5 (959 Ratings)·Excellent,Bangalore
511,OYO 76781 Emara Boutique Hotel,"Karnataka, Bangalore",₹1718,₹3272,47% off, Doctor on Call  Parking Facility  Reception  + 20 more,4.4 (274 Ratings)·Very Good,Bangalore
512,OYO 13043 Pavithra Regency,"Near SBI Bank, RT Nagar Main Road, Bangalore",₹1014,₹2621,61% off, Hair Dryer  Free Wifi  Card Payment  + 11 more,3.6 (30 Ratings)·Good,Bangalore
513,OYO 3974 Hotel Bcp Royal Residency,"Near Race Course, 6th A Cross, Bangalore",₹1350,₹2808,51% off, Parking Facility  Free Wifi  Power backup  + 15 more,4.5 (1209 Ratings)·Excellent,Bangalore
514,OYO Townhouse 269 RCC Sunrise,"Near Begumpet lifestyle, Kundanbagh Colony, Hyderabad",₹1960,₹3732,47% off, Private Entrance  Parking Facility  Reception  + 15 more,4.5 (1577 Ratings)·Excellent,Hyderabad
515,SPOT ON 69484 Hotel Rk Residency,"Near Jaam Bagh, Hindustani Lane, Hyderabad",₹637,₹2035,68% off, AC  TV  AC  + 8 more,,Hyderabad
516,OYO 39708 Hotel Hill Park Grand,"Near DHL, Ladki Ka Pul, Hyderabad",₹1525,₹2905,47% off, Reception  Free Wifi  Power backup  + 15 more,3.9 (854 Ratings)·Good,Hyderabad
517,OYO 74184 Hotel Meredian Comfort Inn,"Near Metro Station, Aghapura, Hyderabad",₹1216,₹2315,47% off, Parking Facility  Reception  Free Wifi  + 8 more,,Hyderabad
518,OYO 74578 Hotel Al-Diyafa,"Beside Ramraj Cotons., Hyderabad",₹1515,₹2885,47% off, Free Wifi  Power backup  Card Payment  + 15 more,3.7 (129 Ratings)·Good,Hyderabad
519,OYO Townhouse 81794 Banjara Hills,"Masab Tank, Hyderabad",₹1416,₹2697,47% off, Hair Dryer  AC  AC  + 9 more,,Hyderabad
520,OYO 18926 Tourist Krishna Inn,"Near Barkatpura Rd, Kachiguda Station Rd,Hyderabad",₹1709,₹3255,47% off, AC  AC  TV  + 5 more,4.5 (760 Ratings)·Excellent,Hyderabad
521,OYO 35487 Hotel Meena Grand,"Near Nampally Metro Station, Hyderabad",₹1534,₹3255,52% off, Reception  Power backup  Security  + 26 more,,Hyderabad
522,OYO 19365 Hotel Sabharwal,"Near Grand Hotel , Hanuman Tekdi, Hyderabad",₹1014,₹3149,67% off, Elevator  Free Wifi  Geyser  + 4 more,,Hyderabad
523,OYO 35467 Shiridi Residency,"Near Chermas, Abids, Hyderabad",₹1609,₹3065,47% off, Reception  AC  Daily Housekeeping  + 7 more,4.8 (1038 Ratings)·Excellent,Hyderabad
524,OYO 28124 Alekhya Residency Cafe Bahar,"Near Sagar Ring Road, LB Nagar, Hyderabad",₹2290,₹4361,47% off, Parking Facility  Reception  Free Wifi  + 16 more,,Hyderabad
525,OYO 1410 Country Club Begumpet,"Near Railway Station, Begumpet, Hyderabad",₹2144,₹4084,47% off, AC  TV  Seating Area  + 1 more,,Hyderabad
526,OYO 75986 Hotel Grandeur,"Ameerpet Mainroad, Hyderabad",₹1631,₹3727,56% off, Doctor on Call  Reception  Public Washroom  + 28 more,3.6 (1654 Ratings)·Good,Hyderabad
527,Capital O 71843 Grand Sindhura,"Near near pardise hotel, Doctors Colony, Hyderabad",₹2229,₹4245,47% off, Reception  AC  AC  + 9 more,3.9 (416 Ratings)·Good,Hyderabad
528,OYO Flagship 75583 Thatipally Mansion,"Near Omni hospital, Mohan Nagar, Hyderabad",₹1216,₹2453,50% off, Reception  Free Wifi  Power backup  + 10 more,4.4 (1918 Ratings)·Very Good,Hyderabad
529,OYO Townhouse 164 ESI Hospital,"Near ESI Metro Station, Sanath Nagar, Hyderabad",₹1693,₹3224,47% off, Private Entrance  Reception  Free Wifi  + 11 more,4.5 (5940 Ratings)·Excellent,Hyderabad
530,OYO 71234 Hotel Shyam ,"Near Paradise Restaurant, M.G.Road, Hyderabad",₹1216,₹2534,52% off, Reception  Free Wifi  24/7 Checkin  + 16 more,4.0 (1769 Ratings)·Very Good,Hyderabad
531,OYO 63021 Hotel Hill 9,"Near Lotus Pond, Film Nagar, Hyderabad",₹1593,₹3234,50% off, Hair Dryer  Parking Facility  Reception  + 21 more,4.1 (352 Ratings)·Very Good,Hyderabad
532,OYO Townhouse White Ridge 112,"New Nallakunta, Hyderabad",₹2164,₹4122,47% off, Parking Facility  Reception  Free Wifi  + 14 more,4.2 (1893 Ratings)·Very Good,Hyderabad
533,OYO 23323 Hotel Dove,"Near Manu Complex, Mehdipatnam Ring Road, Hyderabad",₹1199,₹2741,56% off, Parking Facility  Reception  Free Wifi  + 11 more,3.8 (124 Ratings)·Good,Hyderabad
534,OYO 11915 Varcity Park,"Near SV Hospitals, Madiwala, Bangalore",₹1303,₹2693,51% off, Elevator  Free Wifi  Geyser  + 7 more,3.8 (1074 Ratings)·Good,Bangalore
535,Capital O 70991 Prime Square,"Centrally Located, Near Kalyan Nagar Bus Stand, 1st stage, Bangalore",₹1336,₹2686,50% off, Free Wifi  Power backup  Card Payment  + 10 more,4.3 (982 Ratings)·Very Good,Bangalore
536,CAPITAL O75134 Kings Suits,"Near Itsy Bitsy, Sector 3, Bangalore",₹1460,₹2781,47% off, Parking Facility  Reception  Free Wifi  + 7 more,4.1 (647 Ratings)·Very Good,Bangalore
537,OYO 10821 Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",₹1250,₹2943,57% off, Elevator  Free Wifi  Geyser  + 6 more,3.8 (699 Ratings)·Good,Bangalore
538,OYO Home 78540 Hotel,"Rajarajeshwari Nagar Zone, Bangalore",₹1014,₹2008,49% off, Parking Facility  Elevator  Private Entrance  + 8 more,4.2 (4 Ratings)·Very Good,Bangalore
539,OYO Flagship  77259 The Manyta Pide Inn,"Bengaluru, Bangalore",₹1014,₹2169,53% off, Parking Facility  Private Entrance  Reception  + 13 more,3.6 (161 Ratings)·Good,Bangalore
540,OYO 25121 Bns Lodge,"Near Gandhi Bazaar, Main Road, Bangalore",₹1014,₹2239,54% off, Reception  Free Wifi  Power backup  + 14 more,4.2 (1447 Ratings)·Very Good,Bangalore
541,SPOT ON 63862 Delhi Yatri Nivaas ,"Near Kr Market Metro, Vaisakhi Buildings, Bangalore",₹1014,₹1931,47% off, TV  Private Entrance  Reception  + 18 more,4.5 (97 Ratings)·Excellent,Bangalore
542,SPOT ON 48699 Hotel PawanSree Deluxe Lodge,"Opposite Kapali Theatre, Gandhi Nagar, Bangalore",₹1311,₹2497,47% off, TV  Elevator  Window  + 8 more,,Bangalore
543,OYO Townhouse 038 Banaswadi 100Ft Road,"Kammanahalli Bangalore, Bangalore",₹1584,₹3017,47% off, Parking Facility  Reception  Free Wifi  + 17 more,3.6 (494 Ratings)·Good,Bangalore
544,SPOT ON 47477 Hotel Maurya Paradise Inn,"Near Msrit, Mathikere Extension, Bangalore",₹778,₹2163,64% off, Window  Reception  Daily Housekeeping  + 6 more,3.5 (524 Ratings)·Good,Bangalore
545,Capital O 62579 Royal Wood Premier,"Centrally Located, Near 1st Stage, Domlur, Bangalore",₹2485,₹4734,47% off, Parking Facility  Free Wifi  Power backup  + 10 more,4.1 (881 Ratings)·Very Good,Bangalore
546,CAPITAL O75993 Hotel Shanti Nivas,"Near Yeshwanthpur , Sri Raghavendra Layout, Bangalore",₹1703,₹4586,62% off, Free Wifi  CCTV Cameras  Power backup  + 6 more,4.3 (381 Ratings)·Very Good,Bangalore
547,OYO 78899 Exotic Stay BG Road,"Bommanahalli Zone, Bangalore",₹886,₹1688,47% off, Elevator  Parking Facility  Free Wifi  + 6 more,4.0 (165 Ratings)·Very Good,Bangalore
548,OYO 78752 Hotel Abhimaani Inn,Opposite Satellite Bus Stand Mysore Road,₹1339,₹4376,69% off, Hair Dryer  Reception  Security  + 10 more,,Bangalore
549,Collection O 81290  Visitors Comfort,"Bangalore North, Bangalore",₹1309,₹2494,47% off, Reception  Wakeup Service  Free Wifi  + 9 more,,Bangalore
550,OYO Townhouse 007 Indiranagar,"12TH MAIN RD,HAL 2ND STAGE ,INDIRANAGAR,BANGALORE",₹1587,₹3864,58% off, Living Room  Bedside Table / Desk  Refrigerator  + 31 more,4.8 (1714 Ratings)·Excellent,Bangalore
551,Capital O BLR2499 Comfort Delight Hotel ,"India, Bangalore",₹1408,₹2824,50% off, Reception  Public Washroom  Security  + 17 more,3.5 (238 Ratings)·Good,Bangalore
552,OYO 79223 Exotic Stay BSK 3rd Stage,"South, Bangalore",₹1423,₹2711,47% off, Elevator  Private Entrance  Free Wifi  + 6 more,4.5 (392 Ratings)·Excellent,Bangalore
553,OYO 26817 Gks Residency,"Near Jayadeva circel, Vysya Bank Colony, Bangalore",₹1014,₹3602,71% off, Reception  Free Wifi  Power backup  + 11 more,,Bangalore
554,OYO 9303 Celebrity Skyhy Rooms,"Near Hyderabad Central, Begumpet, Hyderabad",₹2081,₹3964,47% off, Parking Facility  Elevator  Free Wifi  + 8 more,3.8 (527 Ratings)·Good,Hyderabad
555,Capital O 49135 Sri Simran Park Hotel,"Near Railway station, Secunderabad, Hyderabad",₹1927,₹3669,47% off, Parking Facility  Free Wifi  Power backup  + 17 more,,Hyderabad
556,OYO 79040 Hotel Sai Prakash,"Hyderabad, Hyderabad",₹1091,₹2564,57% off, Ticket Tour Assistance  Reception  Security  + 11 more,4.4 (10 Ratings)·Very Good,Hyderabad
557,OYO 41102 Hyderabad Elite,"Near Mehidi Patnam, Akbar Hills, Hyderabad",₹1834,₹3494,47% off, Private Entrance  Reception  Daily Housekeeping  + 6 more,3.8 (662 Ratings)·Good,Hyderabad
558,Oyo Townhouse 151 De Alphabet,"Near metro cash and carry, Uppal, Hyderabad",₹2286,₹4354,47% off, Parking Facility  Private Entrance  Reception  + 13 more,4.4 (1919 Ratings)·Very Good,Hyderabad
559,OYO 67803 R-inn,"Near ICICI ATM, Banjara Hills, Hyderabad",₹1867,₹3557,47% off, Parking Facility  Reception  Free Wifi  + 12 more,,Hyderabad
560,OYO HOME 79924 PRAMOD PRIME HOMES,"nagole, Hyderabad",₹1014,₹2131,52% off, Free Wifi  TV  AC ,4.9 (181 Ratings)·Fabulous,Hyderabad
561,OYO 79037 Metro Lodge,"Charminar, Hyderabad",₹1453,₹2767,47% off, Wakeup Service  Caretaker  AC  + 2 more,,Hyderabad
562,OYO 30750 M R Residency,"Near Railway station, Secunderabad, Hyderabad",₹1146,₹2981,61% off, Private Entrance  Reception  Power backup  + 32 more,4.4 (190 Ratings)·Very Good,Hyderabad
563,OYO 28637 Gokul Grand,"Near SR Nagar Police station, Ameerpet, Hyderabad",₹1807,₹3441,47% off, Hair Dryer  Parking Facility  Free Wifi  + 17 more,4.2 (3353 Ratings)·Very Good,Hyderabad
564,Townhouse OAK Navvada Regency Banjara Hills,"India, Hyderabad",₹1807,₹3441,47% off, Reception  Free Wifi  Power backup  + 15 more,3.5 (13 Ratings)·Good,Hyderabad
565,OYO 17315 Opal Residency,"Near Mahesh Nagar Colony, Abids, Hyderabad",₹1014,₹2292,55% off, Reception  Free Wifi  Power backup  + 13 more,4.2 (786 Ratings)·Very Good,Hyderabad
566,OYO 73851 Hotel Hyderabad Comfort Lakdikapul,"Beside Krishna Children Hospital, Hyderabad",₹1274,₹2958,56% off, Parking Facility  Reception  Free Wifi  + 8 more,,Hyderabad
567,OYO Townhouse 196 De Alphabet,"Near Sai Baba Temple, Gudimalkapur, Hyderabad",,,, Parking Facility  Reception  Free Wifi  + 17 more,3.9 (2727 Ratings)·Good,Hyderabad
568,OYO 72484 Hill Street Service Apartment,"Near TV9 Office, Banjara Hills, Hyderabad",,,, Free Wifi  AC  AC  + 2 more,,Hyderabad
569,OYO Home 79262 Peaceful Stay Villa,"Hyderabad, Hyderabad",,,, Free Wifi  Geyser  CCTV Cameras  + 2 more,4.1 (246 Ratings)·Very Good,Hyderabad
570,OYO 26817 Gks Residency,"Near Jayadeva circel, Vysya Bank Colony, Bangalore",₹1014,₹3602,71% off, Reception  Free Wifi  Power backup  + 11 more,,Bangalore
571,OYO Home  80399 Supreet Home,"Hoysala Nagara, Bangalore",₹1627,₹3098,47% off, Free Wifi  CCTV Cameras  AC  + 5 more,3.6 (23 Ratings)·Good,Bangalore
572,OYO Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",₹1554,₹2959,47% off, Free Wifi  AC  TV  + 4 more,4.4 (1172 Ratings)·Very Good,Bangalore
573,SPOT ON 80376 Santa Maria,"Bangalore , Bangalore",₹845,₹1931,56% off, TV  Window  Reception  + 6 more,4.0 (1 Ratings)·Very Good,Bangalore
574,SPOT ON 60556 Udupi Residency,"KHB Colony, Koramangala, Bangalore",₹758,₹1728,56% off, TV  Private Entrance  Reception  + 18 more,,Bangalore
575,SPOT ON 80165 S3 Comforts,"Diagonally opp Sri Krishna Nandagokula Hotel, Bangalore",₹871,₹1658,47% off, TV  Parking Facility  Window  + 10 more,3.9 (25 Ratings)·Good,Bangalore
576, OYO Flagship 77088 Srinidhi Residency,"Konena Agrahara Ward, Bangalore",₹1014,₹2109,51% off, Reception  Free Wifi  Power backup  + 11 more,4.1 (169 Ratings)·Very Good,Bangalore
577,OYO 79565 Royal Comforts,"Karnataka, Bangalore",₹1509,₹2874,47% off, Reception  AC  AC  + 7 more,4.2 (63 Ratings)·Very Good,Bangalore
578,OYO 49293 Hotel White Walkers,"Near NIRM, Kaderanahalli Junction, Bangalore",₹1809,₹4213,57% off, Free Wifi  Power backup  Card Payment  + 11 more,3.6 (239 Ratings)·Good,Bangalore
